БЕ,Дата транзакции,Сумма в RUB
5,2017-01-11,-44163004.64968152
5,2017-01-18,-29600464.675159235
5,2017-01-25,-41897071.560509555
5,2017-02-08,-20985539.713375796
5,2017-02-15,-43735942.280254774
5,2017-02-22,-94343643.43949044
5,2017-03-01,-610157.6687898089
5,2017-03-09,-44052839.050955415
5,2017-03-15,-21311137.433121018
5,2017-03-22,-35788704.85987261
5,2017-03-29,-9521065.388535032
5,2017-04-05,-23493986.356687896
5,2017-04-12,-21575253.261146493
5,2017-04-19,-20798918.089171972
5,2017-04-26,-39515717.98089172
5,2017-05-03,-1377501.8980891719
5,2017-05-10,-43854867.7388535
5,2017-05-17,-22523934.019108277
5,2017-05-24,-42644523.089171976
5,2017-06-07,-21586242.987261146
5,2017-06-14,-21674455.03184713
5,2017-06-21,-12826416.828025479
5,2017-06-28,-52579426.28025478
5,2017-07-05,-26425774.146496814
5,2017-07-12,-20610889.649681527
5,2017-07-19,-43493746.85350318
5,2017-07-26,-19076696.78343949
5,2017-08-02,-26992170.07006369
5,2017-08-09,-22660012.777070064
5,2017-08-16,-21368874.585987262
5,2017-08-23,-44973373.63694267
5,2017-09-13,-48824516.75159235
5,2017-09-20,-22931880.509554137
5,2017-09-27,-47125339.235668786
5,2017-10-11,-48171200.70063694
5,2017-10-18,-49178601.32484076
5,2017-10-25,-15874569.363057323
5,2017-11-01,-1103.9235668789809
5,2017-11-08,-47073507.22929936
5,2017-11-15,-22540528.414012738
5,2017-11-22,-51215462.3566879
5,2017-11-29,-687831.5923566879
5,2017-12-13,-50147050.91719745
5,2017-12-20,-55396774.22292993
5,2017-12-27,-18603240.222929936
5,2018-01-10,-49926350.91719745
5,2018-01-17,-55667259.34394904
5,2018-01-24,-14903739.777070062
5,2018-02-07,-2201708.617834395
5,2018-02-14,-51436597.598726116
5,2018-02-21,-53025043.27388535
5,2018-02-28,-17943726.515923567
5,2018-03-14,-53253035.71337579
5,2018-03-21,-52889018.031847134
5,2018-03-28,-10044671.318471337
5,2018-04-11,-51477378.63694267
5,2018-04-18,-56674270.5477707
5,2018-04-25,-10231795.19745223
5,2018-05-10,-51988600.9044586
5,2018-05-16,-30235506.872611463
5,2018-05-23,-37585139.75159235
5,2018-05-30,-65172464.08280254
5,2018-06-13,-49310115.10191082
5,2018-06-20,-27700482.140127387
5,2018-06-27,-41694330.04458599
5,2018-07-11,-52723032.216560505
5,2018-07-18,-51046979.401273884
5,2018-07-25,-12645416.43312102
5,2018-08-08,-24484639.636942673
5,2018-08-15,-53616233.22292993
5,2018-08-22,-48392242.57961783
5,2018-08-29,-1082885.025477707
5,2018-09-12,-55462872.031847134
5,2018-09-19,-55128280.401273884
5,2018-09-26,-17590730.719745222
5,2018-10-10,-54261620.522292994
5,2018-10-17,-53165887.44585987
5,2018-10-24,-11851336.242038215
5,2018-11-07,-958529.5477707005
5,2018-11-14,-53314381.095541395
5,2018-11-21,-60918403.87261146
5,2018-11-28,-20336477.363057323
5,2018-12-12,-56760950.38853503
5,2018-12-19,-64075663.91719744
5,2018-12-26,-59322159.993630566
5,2019-01-09,-57440591.38853503
5,2019-01-16,-30003000.03821656
5,2019-01-23,-57379257.0955414
5,2019-01-30,-217091.42675159234
5,2019-02-13,-56261290.77707006
5,2019-02-20,-58898304.91082802
5,2019-02-27,-16695727.01910828
5,2019-03-13,-63063594.71974522
5,2019-03-20,-54995845.15286624
5,2019-03-27,-9655354.961783439
5,2019-04-10,-56254702.87898089
5,2019-04-17,-58077002.85350318
5,2019-04-24,-14900048.382165605
5,2019-05-08,-25495146.560509555
5,2019-05-15,-57179676.63057325
5,2019-05-22,-37197560.318471335
5,2019-06-13,-55316110.50955414
5,2019-06-19,-54018809.88535032
5,2019-06-26,-14673884.19745223
5,2019-07-03,-2092.1783439490446
5,2019-07-10,-57215847.974522285
5,2019-07-17,-53844507.63694267
5,2019-07-24,-17676241.184713375
5,2019-08-07,-26108262.114649683
5,2019-08-14,-57245217.51592357
5,2019-08-21,-45153851.82165605
5,2019-08-28,-1524745.7197452227
5,2019-09-11,-60369812.29299363
5,2019-09-18,-57216062.21019108
5,2019-09-25,-24341059.636942677
5,2019-10-09,-63998781.5732484
5,2019-10-16,-59882149.43312102
5,2019-10-23,-14567905.62420382
5,2019-11-13,-63271084.66878981
5,2019-11-20,-63488722.73248407
5,2019-11-27,-19262963.222929936
5,2019-12-04,-1924.5095541401274
5,2019-12-11,-67216663.17834395
5,2019-12-18,-32728575.05732484
5,2019-12-25,-55633449.66242038
5,2020-01-15,-60977930.53503184
5,2020-01-22,-60266456.280254774
5,2020-01-29,-17280426.25477707
5,2020-02-05,-1070765.9936305734
5,2020-02-12,-60211983.847133756
5,2020-02-19,-59344521.26751592
5,2020-02-26,-21558861.726114646
5,2020-03-04,-14221.32484076433
5,2020-03-11,-63577170.66242038
5,2020-03-18,-31561274.03821656
5,2020-03-25,-48317329.00636943
5,2020-04-01,-3849.019108280255
5,2020-04-08,-30334157.57961783
5,2020-04-15,-62789248.8598726
5,2020-04-22,-43077750.050955415
5,2020-04-29,-1096472.6242038216
5,2020-05-13,-61172765.08280255
5,2020-05-20,-61366645.929936305
5,2020-05-27,-11858443.681528661
5,2020-06-03,-849653.4076433121
5,2020-06-10,-57945465.05095541
5,2020-06-17,-58950335.484076425
5,2020-06-23,-13008528.617834395
5,2020-07-08,-26390389.89808917
5,2020-07-15,-57932649.25477707
5,2020-07-22,-40917147.49681529
5,2020-07-29,-1219801.7579617833
5,2020-08-12,-59020683.94267516
5,2020-08-19,-55690501.93630573
5,2020-08-26,-23698077.414012738
5,2020-09-09,-62309789.64968152
5,2020-09-16,-58908285.929936305
5,2020-09-23,-16841621.96178344
5,2020-09-30,-1145609.6114649682
5,2020-10-07,-30068865.286624204
5,2020-10-14,-62733844.89808916
5,2020-10-21,-33695906.5477707
5,2020-10-28,-266309.8789808917
5,2020-11-11,-63579845.59235668
5,2020-11-18,-57647367.62420382
5,2020-11-25,-18901539.286624204
5,2020-12-09,-66571582.4522293
5,2020-12-16,-58627727.69426752
5,2020-12-23,-12431141.0955414
5,2020-12-30,-1924.5095541401274
3,2017-01-13,-199813.9872611465
3,2017-01-20,-13029103.031847134
3,2017-01-23,-73265053.75796178
3,2017-01-27,-4644.617834394904
3,2017-01-30,-2235017.4904458597
3,2017-02-10,-20254777.070063695
3,2017-02-14,-1060289.2929936305
3,2017-02-17,-13567893.439490445
3,2017-02-21,-82962607.53503184
3,2017-02-28,-2574017.8089171974
3,2017-03-03,-4957.452229299362
3,2017-03-10,-20093874.076433122
3,2017-03-14,-1028733.9235668789
3,2017-03-17,-13955084.203821655
3,2017-03-21,-73018164.56050955
3,2017-03-24,-32314.757961783438
3,2017-03-28,-15573151.649681527
3,2017-03-31,-2.10828025477707
3,2017-04-14,-22048757.630573247
3,2017-04-21,-103961322.57961783
3,2017-04-28,-991273.2356687897
3,2017-05-12,-20700636.94267516
3,2017-05-15,-1079983.0891719745
3,2017-05-19,-13045402.84076433
3,2017-05-22,-57790046.65605095
3,2017-05-26,-28208.33121019108
3,2017-05-29,-907244.280254777
3,2017-06-09,-19108280.25477707
3,2017-06-14,-1190038.815286624
3,2017-06-16,-14924674.617834393
3,2017-06-21,-83611233.08280255
3,2017-06-23,-12994.197452229299
3,2017-06-28,-1027053.2420382166
3,2017-06-30,-23145.47770700637
3,2017-07-14,-27898684.031847134
3,2017-07-21,-76081370.47770701
3,2017-07-28,-927866.7388535031
3,2017-08-11,-16762080.299363056
3,2017-08-14,-1128044.9171974522
3,2017-08-18,-15134737.15286624
3,2017-08-21,-78969111.86624204
3,2017-08-25,-17270334.23566879
3,2017-08-28,-974407.7452229299
3,2017-09-14,-1187045.178343949
3,2017-09-15,-16474342.808917196
3,2017-09-21,-74780249.51592356
3,2017-09-22,-35616939.59235668
3,2017-09-28,-1021096.076433121
3,2017-10-06,-112.62420382165604
3,2017-10-13,-18968568.178343948
3,2017-10-16,-1275260.7324840764
3,2017-10-20,-30567096.802547768
3,2017-10-23,-84226864.89808917
3,2017-10-30,-1108957.3757961784
3,2017-11-10,-18114400.25477707
3,2017-11-14,-1219938.4649681528
3,2017-11-17,-293365.79617834394
3,2017-11-21,-105408629.65605095
3,2017-11-24,-14326130.420382166
3,2017-11-28,-1058087.2229299361
3,2017-12-01,-350.3184713375796
3,2017-12-08,-18571652.929936305
3,2017-12-14,-1253094.286624204
3,2017-12-15,-208578.37579617833
3,2017-12-19,-19082872.15286624
3,2017-12-21,-79309523.41401275
3,2017-12-22,-14256321.248407643
3,2017-12-28,-1083594.3312101911
3,2018-01-12,-18598636.203821655
3,2018-01-19,-18056282.554140124
3,2018-01-22,-90698169.77070063
3,2018-01-26,-21198.305732484074
3,2018-01-29,-2072967.4394904457
3,2018-02-02,-3944.936305732484
3,2018-02-09,-17321295.15286624
3,2018-02-14,-1051101.6624203823
3,2018-02-16,-55551.61146496815
3,2018-02-21,-94468226.75159235
3,2018-02-22,-30227491.81528662
3,2018-02-28,-7278901.757961783
3,2018-03-02,-84.77707006369425
3,2018-03-07,-16406070.331210192
3,2018-03-14,-984549.2356687898
3,2018-03-16,-18820561.834394902
3,2018-03-20,-19718123.515923567
3,2018-03-21,-72647613.4076433
3,2018-03-23,-50309.547770700636
3,2018-03-28,-845784.6751592356
3,2018-04-13,-17802218.668789808
3,2018-04-16,-132530.4076433121
3,2018-04-20,-37777227.89171974
3,2018-04-23,-80564700.66242038
3,2018-04-27,-27315.477707006372
3,2018-05-11,-17941622.31210191
3,2018-05-14,-140230.10191082803
3,2018-05-18,-1002996.2101910828
3,2018-05-21,-87289797.73248407
3,2018-05-25,-17587426.21656051
3,2018-06-08,-19108.28025477707
3,2018-06-14,-138323.69426751594
3,2018-06-15,-18140879.68789809
3,2018-06-21,-78171515.31847133
3,2018-06-22,-23614158.91719745
3,2018-06-29,-19670.05095541401
3,2018-07-13,-21229453.777070064
3,2018-07-16,-135853.8917197452
3,2018-07-17,-37604.92993630573
3,2018-07-20,-13520535.732484076
3,2018-07-23,-71279149.87261146
3,2018-07-27,-7745.095541401273
3,2018-08-10,-17784722.50955414
3,2018-08-14,-122844.75796178343
3,2018-08-17,-16076442.757961782
3,2018-08-21,-81000936.26751591
3,2018-08-31,-10981.936305732483
3,2018-09-14,-18677338.866242036
3,2018-09-21,-97124821.13375796
3,2018-10-05,-7274.535031847134
3,2018-10-12,-18588269.101910826
3,2018-10-15,-134742.20382165606
3,2018-10-19,-17390923.78343949
3,2018-10-22,-81382417.78980891
3,2018-10-26,-1318671.662420382
3,2018-11-09,-18407049.267515924
3,2018-11-14,-136421.53503184713
3,2018-11-16,-22063908.70700637
3,2018-11-21,-83703075.28025477
3,2018-11-23,-13.92356687898089
3,2018-12-14,-20962861.904458597
3,2018-12-21,-104618460.70063695
3,2018-12-26,-18374.751592356686
3,2019-01-11,-20122748.012738854
3,2019-01-18,-17826051.58598726
3,2019-01-21,-87085602.42675158
3,2019-01-25,-19177.229299363058
3,2019-02-14,-145210.8917197452
3,2019-02-15,-17546049.324840765
3,2019-02-21,-88049945.40127388
3,2019-02-22,-21428170.31210191
3,2019-03-14,-145393.89808917197
3,2019-03-15,-20477630.0955414
3,2019-03-21,-82950940.26114649
3,2019-03-22,-26869694.949044585
3,2019-04-12,-22168075.617834393
3,2019-04-15,-131558.95541401274
3,2019-04-19,-21696672.719745222
3,2019-04-22,-83584942.95541401
3,2019-04-26,-89557.91082802549
3,2019-05-14,-21463856.71974522
3,2019-05-17,-81268.89808917197
3,2019-05-21,-85832451.60509555
3,2019-05-24,-22764391.382165603
3,2019-06-14,-22258117.57324841
3,2019-06-21,-103415930.82165603
3,2019-07-12,-23300235.15923567
3,2019-07-15,-139626.3949044586
3,2019-07-19,-14373197.203821655
3,2019-07-22,-77746403.70700637
3,2019-08-09,-20039548.464968152
3,2019-08-14,-134040.16560509554
3,2019-08-16,-56362.29299363057
3,2019-08-21,-89252804.24840763
3,2019-08-23,-13393244.057324842
3,2019-09-06,-503011.05732484075
3,2019-09-13,-20190439.70700637
3,2019-09-16,-133777.59872611464
3,2019-09-23,-76676453.6687898
3,2019-09-27,-15267613.757961784
3,2019-10-11,-19774083.84076433
3,2019-10-14,-132993.5796178344
3,2019-10-18,-17129028.044585988
3,2019-10-21,-103713809.01273885
3,2019-11-14,-134909.96815286623
3,2019-11-15,-20053655.757961784
3,2019-11-21,-84367060.22929937
3,2019-11-22,-20237234.1910828
3,2019-12-13,-20372864.61146497
3,2019-12-16,-146263.45222929935
3,2019-12-20,-23851082.464968152
3,2019-12-23,-104282189.57961783
3,2019-12-27,-57.14012738853503
3,2020-01-10,-21134526.076433122
3,2020-01-17,-711358.7452229299
3,2020-01-21,-96689362.9745223
3,2020-01-24,-21410763.20382165
3,2020-01-31,-19.936305732484076
3,2020-02-14,-19776769.070063695
3,2020-02-21,-114102289.73248407
3,2020-03-13,-20460735.261146497
3,2020-03-16,-150002.98726114648
3,2020-03-20,-21538971.560509555
3,2020-03-23,-91042969.05732483
3,2020-04-07,-1227231.2929936305
3,2020-04-10,-20781341.229299363
3,2020-04-14,-139224.17834394902
3,2020-04-17,-221831.67515923566
3,2020-04-21,-91857368.84713376
3,2020-04-24,-21420066.56687898
3,2020-04-30,-745661.4649681528
3,2020-05-08,-20849928.617834393
3,2020-05-14,-145313.91719745222
3,2020-05-21,-93093148.45859873
3,2020-05-22,-19595308.5477707
3,2020-05-29,-518925.43949044583
3,2020-06-15,-20455338.738853503
3,2020-06-19,-16167647.343949042
3,2020-06-22,-91256114.89808916
3,2020-06-26,-1412296.101910828
3,2020-07-03,-445688.7898089172
3,2020-07-10,-20742573.72611465
3,2020-07-14,-141675.33757961783
3,2020-07-17,-216655.09554140127
3,2020-07-21,-85949928.0
3,2020-07-24,-17251584.178343948
3,2020-08-07,-121105.54140127389
3,2020-08-14,-21402854.17197452
3,2020-08-21,-114002216.80891718
3,2020-08-28,-265864.2165605095
3,2020-09-11,-20868677.955414012
3,2020-09-14,-518561.3949044586
3,2020-09-18,-18321613.477707006
3,2020-09-21,-96482686.07006368
3,2020-09-25,-280994.8025477707
3,2020-10-09,-277400.949044586
3,2020-10-14,-503493.5796178344
3,2020-10-16,-123704.15923566879
3,2020-10-21,-96317833.22929935
3,2020-10-23,-41039769.114649676
3,2020-11-13,-19448612.0
3,2020-11-16,-522847.6687898089
3,2020-11-20,-22009672.560509555
3,2020-11-23,-98642337.28025478
3,2020-11-27,-65.15286624203821
3,2020-12-14,-557738.974522293
3,2020-12-18,-42230321.43312102
3,2020-12-21,-98534224.80891718
3,2020-12-25,-264118.36305732484
4,2017-01-12,-18825590.58598726
4,2017-01-19,-18632722.299363058
4,2017-01-26,-12570595.72611465
4,2017-02-02,-13061829.439490445
4,2017-02-09,-10791835.764331209
4,2017-02-16,-19743266.611464966
4,2017-02-21,-8358470.592356687
4,2017-03-02,-15854445.420382164
4,2017-03-09,-11513061.420382164
4,2017-03-16,-14815063.643312102
4,2017-03-23,-23008001.91719745
4,2017-03-30,-1140827.3121019108
4,2017-04-06,-8841930.114649681
4,2017-04-13,-12876123.968152866
4,2017-04-20,-20130658.541401275
4,2017-04-27,-11275694.535031848
4,2017-05-04,-976431.3503184713
4,2017-05-11,-12029450.305732483
4,2017-05-18,-20985694.52229299
4,2017-05-25,-16205679.668789808
4,2017-06-08,-12888726.923566878
4,2017-06-15,-17184969.23566879
4,2017-06-22,-723271.5159235669
4,2017-06-29,-36123910.06369426
4,2017-07-06,-1493544.770700637
4,2017-07-13,-13600646.318471337
4,2017-07-20,-23357238.80254777
4,2017-07-27,-9050823.777070064
4,2017-08-03,-1599604.8662420383
4,2017-08-10,-13990590.33121019
4,2017-08-17,-22498786.025477707
4,2017-08-24,-14380613.114649681
4,2017-08-31,-303974.50318471337
4,2017-09-07,-1505554.9299363059
4,2017-09-14,-18765187.585987262
4,2017-09-21,-17422789.866242036
4,2017-09-28,-17840909.57961783
4,2017-10-05,-1985886.5414012738
4,2017-10-12,-19003556.420382164
4,2017-10-19,-18944563.70700637
4,2017-10-26,-19068161.55414013
4,2017-11-09,-26800201.993630573
4,2017-11-16,-25782760.891719744
4,2017-11-23,-19698112.535031848
4,2017-11-30,-1015260.1656050954
4,2017-12-07,-16622345.929936305
4,2017-12-14,-29074055.229299363
4,2017-12-21,-23317012.87898089
4,2017-12-27,-866556.4904458598
4,2018-01-11,-24217557.101910826
4,2018-01-18,-26998606.394904457
4,2018-01-25,-10842346.949044585
4,2018-02-01,-287267.61783439486
4,2018-02-08,-13321879.566878982
4,2018-02-15,-24202531.91719745
4,2018-02-22,-842356.8598726115
4,2018-03-01,-32806422.11464968
4,2018-03-06,-14940507.070063695
4,2018-03-15,-18898870.070063695
4,2018-03-22,-5768829.4522293
4,2018-03-29,-15053440.0
4,2018-04-05,-19560965.58598726
4,2018-04-12,-13882180.573248407
4,2018-04-19,-19287271.140127387
4,2018-04-26,-24478133.770700637
4,2018-05-03,-11314047.05732484
4,2018-05-10,-14617874.484076433
4,2018-05-17,-17993177.853503183
4,2018-05-24,-28758819.50318471
4,2018-06-07,-4638257.095541401
4,2018-06-14,-14670576.904458597
4,2018-06-21,-19560769.210191082
4,2018-06-22,-6316843.261146497
4,2018-06-28,-16784761.21656051
4,2018-07-05,-950793.3630573249
4,2018-07-12,-21003717.49044586
4,2018-07-19,-19893065.458598725
4,2018-07-20,-3025457.0636942675
4,2018-07-26,-9573659.796178345
4,2018-08-02,-216770.25477707005
4,2018-08-09,-14822550.292993631
4,2018-08-16,-24080610.55414013
4,2018-08-23,-10572085.464968152
4,2018-09-13,-18949799.127388533
4,2018-09-20,-17581946.484076433
4,2018-09-27,-15520595.52866242
4,2018-10-04,-1357451.1146496814
4,2018-10-11,-20098668.713375796
4,2018-10-18,-19324705.439490445
4,2018-10-25,-21634362.012738854
4,2018-11-01,-5309182.898089172
4,2018-11-08,-17761792.484076433
4,2018-11-15,-29050440.853503183
4,2018-11-22,-23435686.299363058
4,2018-12-06,-339529.025477707
4,2018-12-13,-17908076.458598725
4,2018-12-20,-21802466.210191082
4,2018-12-26,-7197908.643312102
4,2018-12-27,-15446872.738853503
4,2019-01-10,-17341654.955414012
4,2019-01-17,-29301680.554140124
4,2019-01-24,-43434229.59235668
4,2019-01-31,-3419876.1847133758
4,2019-02-07,-5437359.630573248
4,2019-02-14,-39750096.48407643
4,2019-02-21,-20493767.32484076
4,2019-02-28,-30896019.286624204
4,2019-03-07,-7299760.4522293
4,2019-03-14,-16942053.656050954
4,2019-03-21,-36254509.17197452
4,2019-03-28,-25850143.15286624
4,2019-04-04,-8198126.796178344
4,2019-04-11,-35090737.50955414
4,2019-04-18,-26528247.573248405
4,2019-04-22,-6946678.363057324
4,2019-04-25,-31536573.044585984
4,2019-05-07,-18429507.03821656
4,2019-05-13,-17709959.343949046
